age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;y
51;self-employed;married;basic.4y;no;no;no;cellular;nov;mon;189;1;999;0;nonexistent;no
51;self-employed;married;university.degree;no;yes;yes;cellular;nov;thu;310;3;999;0;nonexistent;no
51;self-employed;married;university.degree;unknown;no;no;telephone;jun;tue;143;1;999;0;nonexistent;no
51;self-employed;married;high.school;no;yes;no;cellular;aug;fri;8;6;999;0;nonexistent;no
51;self-employed;married;basic.9y;no;yes;no;telephone;may;tue;144;2;999;0;nonexistent;no
51;self-employed;married;professional.course;unknown;yes;yes;telephone;may;tue;139;4;999;0;nonexistent;no
51;self-employed;married;university.degree;no;yes;yes;cellular;nov;tue;55;2;999;0;nonexistent;no
51;self-employed;single;basic.9y;no;yes;no;cellular;nov;thu;104;1;999;0;nonexistent;yes
51;self-employed;married;basic.4y;unknown;no;yes;telephone;may;wed;91;7;999;0;nonexistent;no
51;self-employed;married;basic.9y;no;yes;yes;cellular;nov;thu;244;1;999;0;nonexistent;no
56;housemaid;divorced;high.school;no;no;no;telephone;may;fri;390;2;999;0;nonexistent;no
56;housemaid;divorced;high.school;no;yes;no;cellular;nov;thu;67;6;999;1;failure;no
56;housemaid;divorced;basic.4y;no;no;no;cellular;nov;thu;80;1;999;0;nonexistent;no
56;housemaid;married;basic.4y;no;no;no;telephone;may;mon;261;1;999;0;nonexistent;no
56;housemaid;divorced;professional.course;no;yes;no;cellular;nov;tue;566;1;7;2;failure;yes
56;housemaid;divorced;basic.4y;unknown;yes;no;telephone;jun;tue;77;5;999;0;nonexistent;no
56;housemaid;divorced;basic.4y;no;yes;no;cellular;nov;wed;414;1;999;1;failure;yes
56;housemaid;divorced;basic.4y;unknown;yes;no;cellular;jul;mon;121;2;999;0;nonexistent;no
56;housemaid;married;basic.4y;unknown;no;no;cellular;aug;fri;87;1;999;0;nonexistent;no
56;housemaid;married;basic.4y;unknown;no;no;cellular;may;wed;206;1;999;0;nonexistent;no
56;unknown;married;basic.4y;no;no;no;cellular;oct;tue;480;1;2;2;success;yes
56;unknown;married;unknown;no;no;no;telephone;oct;fri;235;1;999;0;nonexistent;yes
56;unknown;single;basic.9y;no;no;yes;cellular;jul;mon;329;5;999;0;nonexistent;no
56;unknown;divorced;basic.4y;no;no;no;cellular;jul;tue;547;12;999;0;nonexistent;no
56;unknown;married;unknown;unknown;yes;no;telephone;may;fri;174;15;999;0;nonexistent;no
56;unknown;single;basic.9y;no;no;no;cellular;jul;mon;102;2;999;0;nonexistent;no
56;unknown;single;basic.9y;no;no;yes;cellular;jul;mon;53;8;999;0;nonexistent;no
56;unknown;married;basic.4y;no;yes;no;cellular;aug;mon;106;1;999;0;nonexistent;no
56;unknown;married;basic.4y;no;yes;no;cellular;oct;tue;172;1;999;0;nonexistent;no
85;retired;married;basic.4y;no;no;no;cellular;apr;tue;165;3;999;0;nonexistent;no
85;retired;married;basic.4y;no;yes;no;cellular;apr;fri;117;2;999;0;nonexistent;no
85;retired;married;basic.4y;no;no;no;cellular;apr;mon;81;1;999;0;nonexistent;no
85;retired;married;professional.course;no;no;no;cellular;aug;tue;140;1;999;0;nonexistent;yes
85;retired;married;basic.4y;no;yes;no;cellular;apr;thu;191;1;999;0;nonexistent;no
85;retired;divorced;basic.4y;unknown;yes;no;telephone;dec;tue;150;1;999;0;nonexistent;no
85;retired;married;basic.4y;no;no;no;cellular;sep;tue;728;1;3;2;success;yes
62;entrepreneur;married;basic.9y;no;yes;no;cellular;apr;mon;366;2;10;1;success;no
62;entrepreneur;married;university.degree;no;yes;no;telephone;sep;tue;722;1;999;0;nonexistent;yes
39;self-employed;married;basic.4y;unknown;yes;no;telephone;may;tue;3366;3;999;0;nonexistent;no
39;self-employed;married;basic.4y;unknown;no;no;telephone;may;wed;389;2;999;0;nonexistent;no
39;self-employed;married;basic.9y;no;no;no;cellular;nov;wed;46;1;999;0;nonexistent;no
